title,brand,category,price_gbp,mrp_gbp,discount_pct,rating,review_count,availability,detail_url,scraped_at,price_tier,discount_bucket,rating_label,savings_gbp,high_value_deal,review_tier
A Light in the Attic,Cambridgepress,History,51.77,68.1,23.98,3,275,In stock,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,2026-03-16 17:00:28,Premium (£35–£60),10–25%,Average,16.33,0,High
Tipping the Velvet,Oxfordpress,Science,53.74,74.85,28.2,1,30,In stock,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,2026-03-16 17:00:28,Premium (£35–£60),25–40%,Very Poor,21.11,0,Low
Soumission,Cambridgepress,Children,50.1,68.46,26.82,1,110,In stock,https://books.toscrape.com/catalogue/soumission_998/index.html,2026-03-16 17:00:28,Premium (£35–£60),25–40%,Very Poor,18.36,0,Moderate
Sharp Objects,Oxfordpress,Self-Help,47.82,60.29,20.68,4,179,In stock,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,2026-03-16 17:00:28,Premium (£35–£60),10–25%,Good,12.47,0,Moderate
Sapiens: A Brief History of Humankind,Simonschuster,Biography,54.23,78.16,30.62,5,1390,In stock,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,2026-03-16 17:00:28,Premium (£35–£60),25–40%,Excellent,23.93,1,Viral
The Requiem Red,Simonschuster,History,22.65,29.26,22.59,1,367,In stock,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,2026-03-16 17:00:28,Mid (£20–£35),10–25%,Very Poor,6.61,0,High
The Dirty Little Secrets of Getting Your Dream Job,Bloomsbury,Biography,33.34,45.74,27.11,4,1375,In stock,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-03-16 17:00:28,Mid (£20–£35),25–40%,Good,12.4,0,Viral
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Cambridgepress,Self-Help,17.93,22.49,20.28,3,1869,In stock,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-03-16 17:00:28,Economy (£10–£20),10–25%,Average,4.56,0,Viral
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Hachettebook,Technology,22.6,33.61,32.76,4,1180,In stock,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-03-16 17:00:28,Mid (£20–£35),25–40%,Good,11.01,1,Viral
The Black Maria,Harpercollins,Science,52.15,73.56,29.11,1,413,In stock,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,2026-03-16 17:00:28,Premium (£35–£60),25–40%,Very Poor,21.41,0,High
