title,brand,category,price_gbp,mrp_gbp,discount_pct,rating,review_count,availability,detail_url,scraped_at
A Light in the Attic,CambridgePress,History,51.77,68.1,23.98,3,275,In stock,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,2026-03-16 17:00:28
Tipping the Velvet,OxfordPress,Science,53.74,74.85,28.2,1,30,In stock,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,2026-03-16 17:00:28
Soumission,CambridgePress,Children,50.1,68.46,26.82,1,110,In stock,https://books.toscrape.com/catalogue/soumission_998/index.html,2026-03-16 17:00:28
Sharp Objects,OxfordPress,Self-Help,47.82,60.29,20.68,4,179,In stock,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,2026-03-16 17:00:28
Sapiens: A Brief History of Humankind,SimonSchuster,Biography,54.23,78.16,30.62,5,1390,In stock,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,2026-03-16 17:00:28
The Requiem Red,SimonSchuster,History,22.65,29.26,22.59,1,367,In stock,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,2026-03-16 17:00:28
The Dirty Little Secrets of Getting Your Dream Job,Bloomsbury,Biography,33.34,45.74,27.11,4,1375,In stock,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-03-16 17:00:28
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",CambridgePress,Self-Help,17.93,22.49,20.28,3,1869,In stock,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-03-16 17:00:28
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,HachetteBook,Technology,22.6,33.61,32.76,4,1180,In stock,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-03-16 17:00:28
The Black Maria,HarperCollins,Science,52.15,73.56,29.11,1,413,In stock,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,2026-03-16 17:00:28
"Starving Hearts (Triangular Trade Trilogy, #1)",Scholastic,Self-Help,13.99,16.35,14.43,2,307,In stock,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2026-03-16 17:00:28
Shakespeare's Sonnets,CambridgePress,Biography,20.66,27.79,25.66,4,1282,In stock,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,2026-03-16 17:00:28
Set Me Free,HarperCollins,Biography,17.46,22.03,20.74,5,1826,In stock,https://books.toscrape.com/catalogue/set-me-free_988/index.html,2026-03-16 17:00:28
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),HachetteBook,Science,52.29,56.71,7.79,5,1138,In stock,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2026-03-16 17:00:28
Rip it Up and Start Again,Scholastic,History,35.02,48.81,28.25,5,96,In stock,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,2026-03-16 17:00:28
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Scholastic,Technology,57.25,76.66,25.32,3,531,In stock,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,2026-03-16 17:00:28
Olio,RandomHouse,Technology,23.88,29.98,20.35,1,1199,In stock,https://books.toscrape.com/catalogue/olio_984/index.html,2026-03-16 17:00:28
Mesaerion: The Best Science Fiction Stories 1800-1849,RandomHouse,History,37.59,53.98,30.36,1,1931,In stock,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,2026-03-16 17:00:28
Libertarianism for Beginners,HarperCollins,History,51.33,63.31,18.92,2,159,In stock,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,2026-03-16 17:00:28
It's Only the Himalayas,CambridgePress,Self-Help,45.17,50.3,10.2,2,1931,In stock,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,2026-03-16 17:00:28
In Her Wake,HachetteBook,History,12.84,17.97,28.55,1,688,In stock,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,2026-03-16 17:00:32
How Music Works,Bloomsbury,Self-Help,37.32,51.1,26.97,2,215,In stock,https://books.toscrape.com/catalogue/how-music-works_979/index.html,2026-03-16 17:00:32
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",CambridgePress,Science,30.52,33.87,9.89,3,1018,In stock,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2026-03-16 17:00:32
Chase Me (Paris Nights #2),CambridgePress,Non-Fiction,25.27,27.1,6.75,5,1554,In stock,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,2026-03-16 17:00:32
Black Dust,Scholastic,Technology,34.53,50.08,31.05,5,507,In stock,https://books.toscrape.com/catalogue/black-dust_976/index.html,2026-03-16 17:00:32
Birdsong: A Story in Pictures,HarperCollins,Biography,54.64,58.87,7.19,3,84,In stock,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,2026-03-16 17:00:32
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Scholastic,Children,22.5,26.0,13.46,3,28,In stock,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2026-03-16 17:00:32
Aladdin and His Wonderful Lamp,Macmillan,History,53.13,60.87,12.72,3,1900,In stock,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,2026-03-16 17:00:32
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,HachetteBook,Fiction,40.3,59.86,32.68,5,1982,In stock,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2026-03-16 17:00:32
Wall and Piece,HarperCollins,Non-Fiction,44.18,53.26,17.05,4,1579,In stock,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,2026-03-16 17:00:32
The Four Agreements: A Practical Guide to Personal Freedom,HachetteBook,Fiction,17.66,20.6,14.27,5,1794,In stock,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,2026-03-16 17:00:32
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,CambridgePress,Science,31.05,35.74,13.12,3,1434,In stock,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,2026-03-16 17:00:32
The Elephant Tree,RandomHouse,Fiction,23.82,28.71,17.03,5,1717,In stock,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,2026-03-16 17:00:32
The Bear and the Piano,HachetteBook,Fiction,36.89,51.79,28.77,1,117,In stock,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,2026-03-16 17:00:32
Sophie's World,PenguinBooks,History,15.94,20.12,20.78,5,74,In stock,https://books.toscrape.com/catalogue/sophies-world_966/index.html,2026-03-16 17:00:32
Penny Maybe,RandomHouse,Children,33.29,40.56,17.92,3,1885,In stock,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,2026-03-16 17:00:32
Maude (1883-1993):She Grew Up with the country,Scholastic,Science,18.02,19.28,6.54,2,51,In stock,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,2026-03-16 17:00:32
"In a Dark, Dark Wood",CambridgePress,Biography,19.63,26.07,24.7,1,133,In stock,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,2026-03-16 17:00:32
Behind Closed Doors,Macmillan,Non-Fiction,52.22,64.24,18.71,4,1240,In stock,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,2026-03-16 17:00:32
You can't bury them all: Poems,Macmillan,Science,33.63,49.78,32.44,2,1478,In stock,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,2026-03-16 17:00:32
